,Job Title,Job Description,Salary_min,Salary_max,Salary_mean,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist,"Data Scientist QuaEra, a rapidly growing NY/NJ-based startup, is looking for ambitious, passionate professionals to join its expanding team. QuaEra provides business organizations with cutting-edge decision-making solutions using advanced analytics, predictive modeling, and decision science methods.QuaEra has developed a transformative hyper-personalization scoring-as-a- service solution called Aignyte (www.aignyte.com), which uses the latest inAI, NLP, and other innovative techniques to increase direct marketing response. The hired individual will be part of the firm’s data science team building and implementing Aignyte and supporting the servicing of clients.Applicants can be remote to NY/NJ but may need to travel there when conditions allow that.Our Co-founders have a combined 50 years of experience in leadership roles in the industry. We are looking for quantitative problem solvers to work alongside them as well as senior business leaders to deliver and growAignyte. If you have the entrepreneurial drive, intellectual curiosity, willingness to think out of the box, and want to learn from the best, then we want to hear from you.REQUIREMENTS2+ years of hands-on experience with Python, and preferably some data visualization software such as TableauExperience in machine and statistical learning, deep learning areas such as classification, regression, clustering, NLP, image recognition, etc.At least a Master’s degree in a quantitative discipline such as Statistics,Economics, Mathematics, Computer Science, or equivalentIntellectual curiosity, entrepreneurial drive, innovative structured thinking, and problem-solving skillsComfortable in a small, intense high-growth environmentWe offer a competitive salary and bonus as well as health insurance and voluntary benefitsFor more information, please visit us at: http://www.aignyte.comJob Types: Full-time, InternshipPay: $70,000.00 - $90,000.00 per yearBenefits:Employee assistance programEmployee discountHealth insuranceHealth savings accountLife insurancePaid time offReferral programSupplemental Pay:Bonus payEducation:Master's (Required)Experience:Python: 2 years (Preferred)SQL: 1 year (Preferred)Work Location: RemoteShow More  ",$70K ,$90K,-1,-1,Aignyte,Remote,-1,-1,-1,-1,-1,-1
1,Data Scientist,"Great Minds, a rapidly growing challenger brand in the PK-12 instructional materials space, seeks an experienced Data Scientist.

COMPANY PROFILE

Great Minds, a mission driven Public Benefit Corporation, brings teachers and scholars together to craft exemplary instructional materials that inspire joy in teaching and learning. Our English curriculum, Wit & Wisdom®, Eureka Math™ and PhD Science™, all support teachers as they take students beyond rote learning to provide a deeper, more complete understanding of the humanities, mathematics, and the sciences. Founded in 2007, Great Minds now employs more than 1,000 people.

For additional information please visit: www.greatminds.org

OUR MARKET POSITION

Great Minds’ Eureka Math is the most widely used curriculum in the history of American education. It enjoys an unrivaled 40+ net promoter score. Eureka and its sister products, Wit & Wisdom English and PhD Science, embrace much higher expectations for all students and all teachers. In a market dominated by scripted, procedural materials that drive expectations down, Great Minds produces curricula that celebrate knowledge, respect the craft of teaching, and acknowledge the true capabilities of students.

Job Purpose

The data scientist’s primary purpose will be to assist the organization in uncovering and understanding key metric drivers for the success of our digital products and providing the data to support these insights. The data scientist will work with Sales, Support, Content and Product teams to understand how to better improve our products for customer needs through usage analytics and insights. The data scientist will also collaborate with content and product teams to design and develop data-driven product features. The candidate will be responsible for gathering requirements from stakeholders, working with the engineering team to source the data as needed, use a variety of tools and methods and to analyze and interpret the data, and finally assist in building out and maintaining dashboards and reports. Candidate should have a passion for data and enthusiasm for learning and discovering new information.
Responsibilities

Work with multiple stakeholders to help them envision the insights and questions that can be addressed with data, through the use of prototypes, discussion, and mock-ups
Identify additional data needs that may be important to answer key questions and work with development teams to be able to track such data
Aggregate and analyze data across disparate sources using a variety of analytical and statistical tools and methods and derive intelligence that can be turned into actionable insights
Create and enhance dashboards and reports as needed to support various teams across the company
Written and Oral communication - Ability to represent data findings in a relatable way
Experience with data visualization tools such as Tableau, Power BI, Google Analytics, Quicksight, etc..
Experience with Data Modeling
Intermediate coding skills using SQL, Python and/or R
Experience and ability to communicate clearly using presentation tools such as Microsoft Power Point to tell a story through the data
Experience with statistical modeling. Background in machine learning and predictive analytics is nice to have.

Details:

Required Education

Bachelor's degree

Status

Full-time

Location

Remote

Resume and cover letter required.

Selected candidate will be required to pass a criminal history background check.

New employees will be required to provide proof of COVID-19 vaccination, subject to potential accommodation as required by law or otherwise permitted by the Company.
Great Minds is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex (including pregnancy, sexual orientation, and gender identity), national origin, disability, age, genetic information, or any other status protected under applicable federal, state, or local laws. Our policy reflects and affirms the organization’s commitment to the principles of fair employment and the elimination of all discriminatory practices.Show More  ",-1,-1,-1,3.8,"Great Minds
3.8",Remote,51 to 200 Employees,2007,Nonprofit Organization,K-12 Education,Education,-1
2,Data Scientist or Bioinformatician,"Center Information: The Quantitative Biomedical Research Center (QBRC) is a well-established research center at UT Southwestern Medical Center (UTSW). It aims to foster collaborations involving quantitative methods and technologies in any aspect of biomedical research, particularly for understanding disease etiologies and developing treatment and prevention strategies. Currently, the center has five faculty members, around 40 staff members, postdocs and student research assistants. We are actively recruiting new members to join this new and dynamic group.Position Title: Data Scientist I, II, III, Computational biologist I, II, III or Postdoctoral Fellow (Bioinformatics/Biostatistics)Duties & Responsibilities: For bioinformatics scientists, the projects include developing novel method for analysis and integration of multiple-omics data, and single cell genomics and transcriptome analysis. For data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning methods on real medical problems.At UTSW, there are great opportunities for scientists to collaborate with outstanding biomedical investigators and work on exciting research projects. UT Southwestern provides a friendly, dynamic, collaborative, and integrative research and training environment with state-of-the-art facilities.Position Qualifications: Candidates should have a doctoral degree in either one of the following fields, including genetics/genomics, bioinformatics, computer science, biostatistics, computational biology or a related field. Programming skills in Python, Perl or R is preferred. Experience for deep learning is highly preferred for data scientist position.Related websites: QBRC: https://qbrc.swmed.edu/Application Deadline: until filledUT Southwestern Western Medical Center is an Affirmative Action/Equal Opportunity Employer. Women, minorities, veterans and individuals with disabilities are encouraged to apply. Job Type: Full-timePay: $60,000.00 - $100,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee discountFlexible scheduleHealth insuranceLife insurancePaid time offReferral programRetirement planTuition reimbursementVision insuranceSchedule:Monday to FridaySupplemental Pay:Bonus payCommission paySigning bonusEducation:Doctorate (Preferred)Work Location: RemoteTo apply to this job, click Easy ApplyShow More  ",$60K ,$100K,-1,-1,,Remote,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Health Care,-1
3,Data Scientist,"Job DescriptionACM Analytics is seeking a Data Scientist to support our data analytics work. ACM Analytics is a certified woman- and minority-owned small business providing a wide array of data analytic services to commercial clients and government agencies. Our cross-industry experience allows us to provide innovative methodologies and result-based solutions that are both efficient and adaptable. You will be part of a small collaborative team passionate about their work.ResponsibilitiesAnalyze patterns in healthcare data to detect anomalies in billing behavior and to identify unusual trends in time-series data.Identify Payment Integrity violations based on robust quantitative methods.Use standard methods and ad-hoc data analysis to reduce the potential false positives generated by anomaly-detection algorithms.Generate data analytics reports and interpret the results for non-technical audience.Present information using data visualization techniquesWork in collaboration with various teams both internal and external teams.If necessary, discuss results with stakeholders.QualificationsMS in Data Science, Computer Science, Engineering, Health Services, Statistics or Mathematics.3+ years programming experience with Python and/or R. Experience with AWS platform and Microsoft SQL is a plus.Ability to extract meaning from and interpret data using tools and methods from statistics and machine learning.Ability to deploy statistical analysis, such as regression, clustering, predictive modeling, etc., and analytical modeling using large datasets.3+ years of experience building, deploying, and monitoring real world data science and machine learning solutions using state of the art techniques.Ability to communicate actionable insights derived from data analyses, often to a non-technical audience.Some experience with healthcare, Medicare, and/or Medicaid claims data required.Familiarity with healthcare fraud, waste, and abuse (FWA) is a plus.Familiarity with Medicaid agencies is a plus.ACM Analytics is proud to be an Equal Opportunity Employer. Our hiring practices provide equal employment opportunities without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristics under federal, state, or local law.Job Types: Part-time, ContractPay: $55.00 - $70.00 per hourBenefits:Flexible scheduleSchedule:Monday to FridayApplication Question(s):Do you have any experience with data visualization software such as Tableau or MS Power BI? If yes, how many years of experience do you have?Education:Master's (Required)Experience:Python or R: 3 years (Required)SQL: 1 year (Preferred)Work Location: RemoteShow More  ",$55.00 /hr,$70.00,-1,-1,"ACM Analytics, LLP",Remote,-1,-1,-1,-1,-1,-1
4,Clinical Data Scientist,"Job Summary:Data mining of genomics data and clinical record. The work can be remote.Essential Duties and Responsibilities:DUTIES AND RESPONSIBILITIES:Conduct research on large datasetsDiscover novel patterns with statistically significanceProvide models to guidance clinical product developmentJob Skills:Knowledge of structured or unstructured dataset, by which to select training sets for machinelearningPresentation skills to present results and insights to leadershipWritten and verbal communication skillsQualifications:Master of Science or PhD in a quantitative discipline like Computer Science, statistics, andbiomedical science, etc.Scientific mindset and first-principles thinkingPrior experience in conducting academic or industry research on data mining, especially onelectronic health records and/or genomicsJob Type: Full-timePay: $78,116.00 - $181,198.00 per yearSchedule:Monday to FridayEducation:Master's (Preferred)Experience:Python: 1 year (Preferred)SQL: 1 year (Preferred)Work Location: RemoteShow More  ",$78K ,$181K,-1,-1,Baylor Genetics,Remote,201 to 500 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,-1
5,Data Scientist,"Note:  This role is 100% remote.Neal Analytics is Microsofts premier and award-winning Partner for Data, AI, Analytics, and Automation. Neal works with the worlds largest brands to help realize their opportunities with Digital Transformation. Neal stands tall among its peers through a non-commodity talent strategy, management consulting lineage, and unparalleled access to Microsoft corporate and field personnel.We pride ourselves on the ability to partner with clients to deeply understand their industry dynamics and business challenges, in order to find solutions. Internally, we understand that our success is driven by our great team and work environment. We have even received awards for being one of the best places to work by the Puget Sound Business Journal. We're creative, energetic, and motivated by our clients' successes.We are in search of entry-level, mid and Senior Data Scientists. Our Data Scientists have access to multiple client projects across many industries each requiring complex and customized technical solutions. Our data science practices stay relevant and consistently use bleeding edge technology for business application use.Your key responsibilities include, but are not limited to: Primarily responsible for the development of the Work Routing Engine project, performing data exploration, simulation, and modeling work.Collaborate with internal stakeholders and build production grade models and machine learning algorithms on large-scale datasetsApply machine learning to generate customer behavior segmentation, to enhance recommendation engines, and deliver personalized user experience on ecommerce website and loyalty mobile appApply predictive modeling techniques and survival models to forecast various demands for operations and to deploy real time learning algorithms to optimize the forecastsBuild data science solutions to fuel growth initiatives for Digital, Merchandising, Marketing and Loyalty teamsDesign experiments and deliver A/B Testing analysis to improve customer experience in physical store and on digital platformsApply statistical analysis to detect anomalies in systems and outliers in operational metrics for operational excellenceConvey machine learning solutions with intuitive visualizations and effective communicationsSome example data sets and needs youll work on:Order dataPicking data, tilling timeLabor capacity and schedule dataDemand forecastStore characteristicsHistorical OTT by storeMacro factors (e.g., COVID lockdowns)Qualifications: Undergrad / Masters or PhD degree in a quantitative discipline: Computer Science, Engineering, Data Science, Math, Statistics or related mathematically intensive fields such as Experimental Physics or Chemical Engineering or Engineering discipline1-5+ years of industry experience in applying data science and modeling methodologies: regression model, survival model, ensemble modeling, NLP, recommendation algorithm, clustering, deep learning algorithm, experimental design (Multivariate/A-B testing) and nonparametric Bayesian modeling etc.Experience with any of the following business analytics practices is preferred:Marketing-related analytics, including Customer Lifetime Value assessmentsCustomer Service analytics and advanced capabilities including NLPPersonalization and recommendations1-4+ years of experience and proficiency in SQL, Python and/or Spark-ML1-4+ years of SQL development skills writing queries, transforming data, mining structured and unstructured data.1-2+ years of hands-on experience in building data science solutions and production-ready systems on big data platforms such as Snowflake, Spark, HadoopAbility to write production-level code in PythonExperience with Snowflake, Azure Databricks is a strong plusJob Type: Full-timeShow More  ",-1,-1,-1,-1,Neal Analytics,Remote,51 to 200 Employees,2011,Company - Private,IT Services,Information Technology,-1
6,Data Scientist,"Employment InformationJob Title: Data ScientistSupervisor: DirectorTerm: PermanentSchedule: Full Time (Part Time considered)FLSA Status: ExemptSalary: $75,000 – $100,000Job DescriptionGSSA, LLC, a progressive political consulting firm, is actively seeking an experienced data professional to fill the position of Data Scientist. The Data Scientist reports to the Director and is responsible for gathering, assessing, and presenting data from voter databases, public opinion polls, the U.S. Census Bureau and other sources; identifying and interpreting meaningful patterns; conducting randomized control trials (experiments); and compiling visualizations and reports. The ideal candidate has, at minimum, a basic familiarity with statistics and predictive analytics. The successful candidate will be able to not only analyze data but also communicate findings in a compelling way, turning complex datasets into insights that drive campaign strategy and decision-making.Position ResponsibilitiesCompile and manipulate datasetsPerform statistical analyses, identify and interpret trendsWork with vendors and partners to fulfill data needs and execute programsDesign and execute randomized control trials (experiments)Develop infographics, maps, and other data visualizations as neededCompile reports and presentationsPropose and implement systems for managing and improving data processesRequired QualificationsStrong analytical skills and knowledge of basic statisticsAdvanced proficiency in Microsoft ExcelProficiency in R and/or other data science languages (e.g., Python)Ability to create effective data tools and visualizationsStrong commitment to progressive values and causesAbility to work well under pressure, manage several projects simultaneously, and adhere to strict deadlinesAbility to communicate effectively, both orally and in writingAbility to work independently as well as part of a teamWilling to have a flexible work scheduleUnderstanding of and respect for requirements of confidentialityCompensation and BenefitsThe Data Scientist position is a full-time, salaried position. The salary range is $75,000 - $100,000, paid on a semi-monthly payroll with the availability of direct deposit. Part-time status will also be considered.The position will have access to the following benefits:Cell phone reimbursementTransit reimbursementMileage reimbursementPaid holidaysPTOEmployer-sponsored medical insuranceEmployee cafeteria benefits: dental, vision, flexible savings accounts401k and Roth 401k accounts availableCompany InformationGSSA, LLC, is a progressive political research firm located in the LoDo area of Downtown Denver. We follow a hybrid work model, designed to give a high degree of flexibility while maintaining a base in- person business model. For this position, remote candidates will be considered.This organization is an Equal Opportunity Employer.Job Types: Full-time, Part-timePay: $75,000.00 - $100,000.00 per yearBenefits:401(k)Dental insuranceFlexible spending accountHealth insurancePaid time offVision insuranceSchedule:8 hour shiftOn callWeekend availabilityWork Location: RemoteShow More  ",$75K ,$100K,-1,-1,"GSSA, LLC",Remote,-1,-1,-1,-1,-1,-1
7,Data Scientist,"Job DescriptionWe are seeking a Data Scientist to join our team for an opportunity with our client, UHC. You must be adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. You must have experience in using a variety of data mining/data analysis methods, using a variety of data tools, building, and implementing models, using/creating algorithms, and creating/running simulations. You must have an ability to drive business results with their data-based insights. You must be comfortable working with a wide range of stakeholders and functional teams. We are looking for a confident, skilled, and energetic resource to compliment a blended team and provide quality service to our client.Applicant must have permanent work status in the U.S.This is a 100% remote position.Primary Responsibilities: Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.Develop company A/B testing framework and test model quality.Coordinate with different functional teams to implement models and monitor outcomes.Develop processes and tools to monitor and analyze model performance and data accuracy.Required Qualifications: Strong problem solving skills with an emphasis on product development.Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.We’re looking for someone with 5-7 years of experience manipulating data sets and building statistical models, has a Master’s or PHD in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:Coding knowledge and experience with several languages: C, C++, Java,JavaScript, etc.Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.Job Types: Full-time, ContractPay: From $80.00 per hourSchedule:Monday to FridayEducation:Master's (Preferred)Experience:Data analysis: 5 years (Required)SQL: 5 years (Preferred)Work Location: RemoteShow More  ",$80.00 /hr,$80.00,-1,-1,Embel Assist,Remote,-1,-1,-1,-1,-1,-1
8,Data Scientist - Knowledge Graphs,"Wizard is on a mission to build the most powerful AI-driven conversational commerce platform. Our B2B software empowers brands to transact with consumers via text, launching an entirely new sales channel to capture increased transactions, conversions, engagement and loyalty. C-commerce is exploding to a $1 Trillion market in the next decade and Wizard is positioned to become the dominant technology in the space.

Wizard is backed by Marc Lore and a $50M Series A from top tech VCs. We're quickly scaling our team and technology and seeking passionate and growth-minded tech talent to join the ride.
The Role


We are looking for a candidate that will create novel ways to represent knowledge and algorithms to enable product discovery at scale. You will be creating efficient representations to express and reason about product and customer behavior concepts, tools to automate knowledge acquisition from people and repositories, and systems for large scale knowledge management. You will aslo drive the research and implementation of query understanding models and graph search algorithms to find novel ways of optimizing product discovery through dialog systems. With the aid of unprecedented market opportunity and the inflection point of advances of the language technologies, we are aiming at forever transforming how people experience shopping.


Key responsibilities:

Own and drive our information extraction and knowledge representation system capable of creating and maintaining large scale product and user knowledge graphs
Research and develop novel ways of using NLP methods to improve query understanding and information retrieval in dialog-based systems
Devise information extraction and reasoning techniques to derive new knowledge from unstructured and semi-structured data
Create data augmentation techniques through graph label propagation, ML models, and curation
Partner with business leaders and product managers to frame key technology challenges, conceptualize ideas, achieve consensus, and execute on a prioritized AI/ML roadmap

You


MS/PhD in computer science, language/information technologies, or related discipline
Experience with knowledge modeling, knowledge representation, inference and reasoning systems
Experience with Implementation and optimization of knowledge acquisition systems and applications
Solid knowledge of NLP/NLU flows, language models and deep learning methods, especially related to information retrieval, query understanding, and user behavior mining
Excellent understanding and practical experience using knowledge graphs in production (Neo4j or similar), and theory of probabilistic inference graphs
Knowledge of practical challenges of large scale information retrieval systems
Demonstrated ability to formalize challenging problems, define research plans, develop new solutions, and work with business & development teams to ensure these solutions have a significant impact
Ability to present clearly and negotiate goals and requirements with the NLP/AI team, product team, and various stakeholders outside of the company
Clear, concise communication and presentation skills, demonstrating grace under pressure
Ability to be flexible and adaptable in a dynamic start-up environment

Benefits

We offer competitive compensation packages including base salary and equity. Flexibility for hybrid and remote work based on role. An environment where you will learn and grow as Wizard scales and the autonomy to do your best work.


Wizard is committed to building the best team and strongly believes that fair hiring practices will get us there. We advocate for diversity, equity and inclusion because it's the right thing to do, it creates a positive work culture and stronger outcomes.

Wizard does not discriminate or make decisions based on race, color, religion, gender identity or expression, sexual orientation, national origin, age, military service eligibility, veteran status, marital status, disability or any other protected class(es). If you have a disability please let our recruiting team know how we can make the interview process work for you.Show More  ",$80.00 /hr,$80.00,-1,-1,Wizard Commerce,New York State,-1,-1,-1,-1,-1,-1
9,Data Scientist,"Data science dream job:
Sit in meetings, clean data, and build models nobody uses

Let's get real. You became a data scientist because you want a career building innovative solutions that solve hard problems. Unfortunately ... most companies are clueless about what you do.

In your ideal job:

You work with an elite engineering team.
You work on hard problems.
Your solutions get deployed into production.
You have the opportunity to grow professionally by learning new technical and personal skills.
You have time for family, hobbies, and sleep.

Why should you settle for anything less?

Become a Data Scientist at Prolego

We are hiring data scientists at levels from a few years of experience to seasoned ML researchers.

About Prolego

Prolego helps the world's largest companies accelerate their journey towards becoming AI-driven organizations. We do this by building custom, innovative solutions to solve complex business problems. We also help drive the cultural and process changes necessary to fully leverage AI.

Our work

Most of our projects involve identifying and solving problems using state-of-the-art engineering techniques. Usually this involves some sort of deep learning. A typical client engagement is a 3-6 months long and a combination of problem identification, strategy, analysis, and modeling. At the end, we have a methodology and model built, along with analysis on how it would solve a business problem.

Subsequent engagements focus on deploying and improving the solution.

A typical day for a data scientist at Prolego
Talking to clients about the nature of the business problems and current workflow.
Reading blog posts, papers from arxiv and generally staying abreast of ideas emerging in areas relevant to our client work.
Collaborating with your Prolego colleagues on new techniques or approaches.
Training and evaluating models.
Working with Prolego's engineering team on ways to move your solution into production.
Refactoring your solutions.
Taking your experimental code and turning it into Python methods and classes.
Compensation

The data science profession is evolving rapidly and we are continuously benchmarking our compensation packages to be competitive.

Current base comp ranges from $140K - $220K with annual bonuses between 10-20% depending on company and individual performance. Benefits details in our interview guide.

Read our interview guide

Before applying, take a moment and skim our interview guide. It will help you decide whether you are a good fit for what we do.Show More  ",$140K ,$220K,-1,-1,Prolego,Georgia,-1,-1,-1,-1,-1,-1
